SNP b c
0 70 12
1 45 12
2 28 19
3 18 60
4 45 18
5 12 43
6 9 21
7 67 28
8 52 54
9 4 8
10 37 43
11 22 28
12 20 15
13 9 22
14 68 13
15 18 12
16 23 9
17 60 10
18 4 49
19 7 3
20 6 6
21 18 9
22 100 4
23 28 46
24 1 107
25 16 15
26 43 1
27 4 9
28 66 6
29 20 28
30 15 84
31 57 17
32 3 97
33 13 10
34 18 22
35 90 5
36 38 27
37 0 31
38 34 16
39 4 8
40 20 52
41 4 33
42 36 4
43 42 60
44 40 7
45 13 40
46 38 44
47 35 33
48 18 34
49 123 0
50 67 25
51 40 4
52 25 84
53 27 20
54 65 66
55 11 85
56 10 45
57 72 25
58 38 99
59 129 5
60 56 37
61 7 23
62 12 3
63 33 65
64 68 5
65 62 2
66 14 31
67 54 5
68 19 40
69 57 51
70 10 53
71 28 34
72 10 72
73 37 2
74 18 36
75 50 5
76 3 32
77 29 3
78 25 2
79 14 7
80 58 83
81 19 18
82 10 9
83 10 35
84 72 6
85 14 17
86 34 21
87 133 7
88 32 105
89 15 140
90 39 9
91 36 2
92 50 2
93 83 0
94 81 5
95 23 7
96 6 1
97 75 2
98 16 27
99 45 27
