SNP b c
0 52 27
1 9 54
2 5 82
3 49 26
4 9 16
5 36 9
6 9 45
7 2 7
8 54 17
9 6 15
10 35 9
11 69 5
12 8 94
13 28 3
14 13 8
15 38 29
16 17 39
17 9 22
18 6 92
19 52 2
20 43 27
21 52 38
22 11 3
23 43 19
24 16 11
25 60 69
26 14 16
27 46 3
28 11 12
29 86 3
30 20 14
31 18 22
32 14 27
33 13 1
34 3 8
35 57 7
36 2 29
37 46 76
38 5 87
39 36 11
40 26 25
41 30 61
42 74 7
43 13 48
44 16 2
45 1 73
46 23 1
47 32 33
48 100 2
49 15 10
50 23 22
51 12 32
52 3 28
53 14 6
54 14 10
55 53 15
56 16 41
57 39 35
58 26 5
59 9 1
60 46 16
61 61 8
62 27 43
63 49 10
64 13 84
65 31 14
66 6 31
67 7 46
68 14 2
69 20 19
70 24 3
71 62 37
72 1 53
73 61 8
74 14 3
75 29 37
76 25 65
77 50 34
78 5 63
79 1 61
80 9 9
81 5 23
82 11 22
83 0 82
84 42 27
85 36 8
86 9 45
87 6 13
88 19 2
89 9 10
90 20 33
91 29 49
92 17 87
93 21 64
94 7 61
95 49 49
96 4 66
97 54 33
98 14 26
99 4 85
